customer_id,age,gender_cd,region_size,foreign_flg,entrepreneur_flg,auto_flg,traveler_flg,partnership_flg,child_amt,realty_type,segment_cd,bundle_nm,confirmed_income,predicted_income,product_cd,functional_cd,finish_dttm,state_talk_time_sec,wo_hit_status_result_desc,wo_hit_status_reason_desc,employee_id,emp_age,emp_age_new,emp_gender_cd,emp_children_cnt,emp_work_months_cnt,emp_citizenship_country_cd,emp_marital_status_cd,day_of_week,holiday_flg,million_city,child_flg,approval_flg
139895392,42.0,1.0,msk,0.0,0.0,1.0,0.0,1.0,0.0,Квартира,m_04 (11),Без подписки,,,Credit Cards,Preapprove,2022-11-02,221.0,"Дозвон, Отказ",Другой банк,172244.0,26.0,24.0,,,0.0,,,2,0,1.0,0,0
342841087,40.0,0.0,town,0.0,0.0,1.0,0.0,0.0,1.0,Квартира,t_07 (29),Без подписки,,,Cash Loan,Incoming,2022-08-05,26.0,"Дозвон, Отказ",Переведен в банк,17861.0,40.0,38.0,0.0,,82.0,,,4,0,0.0,1,0
104017416,30.0,1.0,,,,,,,,,,Без подписки,,,Credit Cards,Preapprove,2024-03-03,79.0,"Дозвон, Отказ",Кредитная карта не нужна,247291.0,19.0,18.0,1.0,,,,,6,1,,0,0
579880064,65.0,0.0,,,,,,,,,,Без подписки,,,Credit Cards,Preapprove,2024-07-12,21.0,"Дозвон, Отказ",Кредитная карта не нужна,279851.0,18.0,19.0,0.0,,,,,4,0,,0,0
124379737,28.0,1.0,msk,0.0,0.0,1.0,0.0,1.0,1.0,Квартира,m_07 (18),Без подписки,,,Credit Cards,Afterfilling,2022-02-11,46.0,"Дозвон, Отказ",Левый контакт,134188.0,30.0,27.0,,,0.0,,,4,0,1.0,1,0
505902204,19.0,1.0,town,0.0,0.0,0.0,0.0,0.0,0.0,Нет своего жилья,t_05 (19),Без подписки,,,Credit Cards,Meeting,2023-11-13,96.0,"Дозвон, Успешно",Назначена встреча,228467.0,25.0,24.0,1.0,,1.0,Россия,Холост/не замужем,0,0,0.0,0,1
295999775,55.0,1.0,urban,0.0,0.0,1.0,0.0,1.0,1.0,Квартира,u_06 (23),Pro,,13823.5,Casco,Afterfilling,2023-02-01,1000.0,"Дозвон, Успешно",Письмо с оплатой,3021.0,54.0,53.0,0.0,,67.0,,,2,0,1.0,1,1
63047752,52.0,0.0,town,0.0,0.0,1.0,0.0,1.0,0.0,Жилой дом,t_03 (10),Pro,,,Cash Loan,Preapprove,2023-12-15,94.0,"Дозвон, Отказ",Кредит уже не нужен,171390.0,29.0,28.0,0.0,,,,,4,0,0.0,0,0
394092560,27.0,0.0,urban,0.0,0.0,1.0,0.0,1.0,1.0,Квартира,u_07 (27),Pro,,15323.5,Cash Loan,Agreement,2023-03-26,21.0,"Дозвон, Отказ",Кредит уже не нужен,108662.0,58.0,56.0,1.0,,19.0,,,6,1,1.0,1,0
168934875,33.0,0.0,town,0.0,0.0,0.0,0.0,1.0,1.0,Квартира,t_07 (29),Pro,,15140.0,Credit Cards,Downsell,2024-07-22,20.0,"Дозвон, Отказ",Отказ прослушать предложение,268164.0,18.0,19.0,0.0,,3.0,,,0,0,0.0,1,0
